0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:54:54 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:54:54 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:54:57 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:54:57 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:54:58 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:54:58 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:54:59 -0300] "GET /MVTur_ViagemMVC/passagem-getCreate HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:55:04 -0300] "GET /MVTur_ViagemMVC/passagem-getCreate HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:33 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:38 -0300] "GET /MVTur_ViagemMVC/index.jsp HTTP/1.1" 200 11397
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:38 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:45 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:45 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:47 -0300] "GET /MVTur_ViagemMVC/views/usuarios/create.jsp HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:52 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:52 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:54 -0300] "GET /MVTur_ViagemMVC/destino HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:54 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:57 -0300] "GET /MVTur_ViagemMVC/destino HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:57 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:58 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:58 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:31:59 -0300] "GET /MVTur_ViagemMVC/null HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:32:04 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:32:04 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:32:07 -0300] "GET /MVTur_ViagemMVC/destino HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:32:08 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:32:36 -0300] "GET /MVTur_ViagemMVC/livro-update?id=&destino=Rio+de+Janeiro&origem=Salvador&partida=13%2F12%2F2023&chegada=14%2F05%2F2024 HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:03 -0300] "GET /MVTur_ViagemMVC/livro-update?id=&destino=Rio+de+Janeiro&origem=Salvador&partida=13%2F12%2F2023&chegada=14%2F05%2F2024 HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:07 -0300] "GET /MVTur_ViagemMVC/livro HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:13 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:13 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:18 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:18 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:26 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:26 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:27 -0300] "GET /MVTur_ViagemMVC/destino HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:27 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:34 -0300] "GET /MVTur_ViagemMVC/index.jsp HTTP/1.1" 200 11397
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:34:34 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:35:35 -0300] "GET /MVTur_ViagemMVC/ HTTP/1.1" 200 11397
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:35:36 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:36:05 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:36:05 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:36:11 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:36:11 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:36:15 -0300] "GET /MVTur_ViagemMVC/null HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:36:19 -0300] "GET /MVTur_ViagemMVC/passagem HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:36:19 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:38:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:38:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:38:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:38:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:38:59 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:00 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:00 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:11 -0300] "GET /MVTur_ViagemMVC/views/clientes/passagem HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:39:15 -0300] "GET /MVTur_ViagemMVC/views/clientes/null HTTP/1.1" 404 810
