0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:23 -0300] "GET /MVTur_ViagemMVC/assets/7.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:23 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:23 -0300] "GET /MVTur_ViagemMVC/assets/1.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:23 -0300] "GET /MVTur_ViagemMVC/assets/6.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:23 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:23 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:23 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 200 12842
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/assets/Po.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/assets/rj1.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/assets/banner3.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:35 -0300] "GET /MVTur_ViagemMVC/assets/banner2.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:36 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:36 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
